               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07695,            0.028148,            0.023854,             0.57575,             0.56511,             0.53482,             0.26686,            0.049116,             0.01216,           0.0078329,           0.0033177,           0.0033177,            0.070141
                   1,            0.059179,            0.022522,           0.0042224,             0.68724,             0.63514,              0.6316,             0.30842,            0.045776,            0.010257,           0.0044759,           0.0065852,           0.0065852,            0.040075
                   2,            0.056762,            0.021834,           0.0032611,             0.67981,             0.64946,             0.63716,             0.29902,            0.044902,            0.010694,           0.0033095,           0.0097867,           0.0097867,           0.0099432
                   3,            0.055639,             0.02154,           0.0023319,             0.70575,             0.58342,             0.59563,             0.30896,            0.044828,            0.010827,           0.0022538,            0.009703,            0.009703,            0.009703
                   4,            0.047896,            0.021647,           0.0017457,             0.73946,              0.6067,             0.62918,             0.26072,            0.043318,            0.010733,           0.0013988,            0.009703,            0.009703,            0.009703
                   5,            0.044328,            0.022536,           0.0013728,             0.65294,             0.64253,             0.65078,             0.35179,            0.035941,             0.01094,           0.0011016,            0.009604,            0.009604,            0.009604
                   6,            0.044201,             0.02161,           0.0012707,             0.76908,             0.65464,             0.68453,             0.34907,            0.037542,            0.010657,           0.0010387,            0.009505,            0.009505,            0.009505
                   7,            0.040359,            0.021971,            0.001048,             0.81862,             0.65427,             0.71412,             0.41599,            0.034259,            0.010332,          0.00076062,            0.009406,            0.009406,            0.009406
                   8,            0.039403,            0.021244,           0.0010701,             0.71788,              0.6855,             0.70823,             0.42072,            0.034958,            0.010367,          0.00078986,            0.009307,            0.009307,            0.009307
                   9,            0.038086,            0.021327,          0.00093397,             0.76277,              0.6855,             0.69359,             0.41467,            0.033467,            0.010268,          0.00071244,            0.009208,            0.009208,            0.009208
