               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091834,            0.031711,            0.031782,             0.24932,             0.32388,             0.16434,            0.029839,            0.069343,            0.024386,           0.0066913,           0.0033025,           0.0033025,            0.070278
                   1,            0.073137,            0.026408,           0.0070408,             0.44008,             0.43731,               0.319,             0.11316,             0.06736,            0.018615,           0.0049394,           0.0065701,           0.0065701,            0.040212
                   2,            0.075073,            0.023285,           0.0056765,             0.30596,             0.45373,             0.24683,            0.059624,            0.069611,            0.017696,           0.0033574,           0.0097717,           0.0097717,             0.01008
                   3,            0.067432,            0.022794,           0.0038271,             0.63005,              0.5209,             0.54808,             0.23541,            0.058432,            0.017942,           0.0025554,            0.009703,            0.009703,            0.009703
                   4,            0.060819,            0.023127,           0.0032404,             0.67068,             0.57754,             0.56609,             0.25607,            0.049873,            0.019996,           0.0025554,            0.009703,            0.009703,            0.009703
                   5,            0.051404,            0.023921,           0.0026532,             0.66349,             0.52382,             0.54903,              0.2518,             0.04684,            0.019902,           0.0023032,            0.009604,            0.009604,            0.009604
                   6,            0.045238,            0.023261,           0.0024823,             0.66574,             0.58955,              0.5963,             0.29758,            0.042665,            0.017823,           0.0019839,            0.009505,            0.009505,            0.009505
                   7,             0.04455,            0.023247,           0.0023399,             0.65701,              0.6347,             0.65036,              0.3029,            0.040162,              0.0178,           0.0019151,            0.009406,            0.009406,            0.009406
                   8,            0.041928,            0.022002,             0.00215,             0.65714,             0.64776,             0.63597,             0.32337,            0.040169,            0.017646,           0.0016838,            0.009307,            0.009307,            0.009307
                   9,            0.040513,             0.02266,            0.002131,             0.68363,             0.65075,             0.67875,             0.38325,            0.035527,            0.018019,           0.0016832,            0.009208,            0.009208,            0.009208
                  10,            0.038113,            0.022237,            0.001981,             0.72267,             0.68657,             0.70759,             0.42105,            0.034417,            0.017493,            0.001474,            0.009109,            0.009109,            0.009109
                  11,            0.037342,            0.021907,           0.0017617,             0.73287,             0.70448,             0.70935,             0.36911,            0.035533,             0.01733,           0.0013513,             0.00901,             0.00901,             0.00901
                  12,            0.036402,            0.021163,           0.0017205,             0.70071,             0.66418,             0.68168,             0.38634,            0.032161,            0.018104,            0.001451,            0.008911,            0.008911,            0.008911
                  13,            0.036046,            0.020502,           0.0016936,             0.80324,             0.67015,             0.73646,              0.4439,            0.033029,            0.016943,           0.0013558,            0.008812,            0.008812,            0.008812
                  14,              0.0344,            0.020669,           0.0016275,             0.72967,             0.68485,              0.7101,             0.43719,            0.032575,            0.016829,           0.0012587,            0.008713,            0.008713,            0.008713
                  15,             0.03349,            0.020436,           0.0015884,             0.74014,             0.66119,             0.71879,             0.43918,            0.032108,            0.017315,           0.0012911,            0.008614,            0.008614,            0.008614
                  16,            0.031538,            0.020434,           0.0013586,             0.76486,             0.68938,             0.72802,             0.45699,            0.031565,            0.016547,           0.0011433,            0.008515,            0.008515,            0.008515
                  17,             0.03167,            0.020566,           0.0013707,              0.7321,             0.68955,             0.71681,              0.4536,            0.030065,            0.016753,           0.0011387,            0.008416,            0.008416,            0.008416
                  18,            0.031008,            0.020162,           0.0013143,             0.73131,                 0.7,             0.71881,             0.45866,            0.030169,            0.016524,           0.0011561,            0.008317,            0.008317,            0.008317
                  19,            0.031128,            0.018885,           0.0013885,             0.74252,             0.71018,             0.72867,             0.44773,            0.029196,            0.017218,           0.0011511,            0.008218,            0.008218,            0.008218
                  20,             0.03034,            0.019724,           0.0012692,             0.81685,             0.69254,             0.74346,              0.4835,             0.02909,            0.015984,           0.0010769,            0.008119,            0.008119,            0.008119
                  21,            0.030475,            0.019763,           0.0013241,             0.75904,              0.7194,             0.74527,             0.49646,            0.028674,            0.016178,          0.00099772,             0.00802,             0.00802,             0.00802
                  22,            0.029283,            0.019146,           0.0012075,             0.75188,             0.67841,             0.72145,             0.46944,            0.029764,            0.016735,           0.0011091,            0.007921,            0.007921,            0.007921
                  23,            0.030197,            0.019241,           0.0013004,             0.72702,             0.71194,             0.72407,             0.47074,            0.028913,             0.01669,           0.0011068,            0.007822,            0.007822,            0.007822
                  24,            0.029056,            0.018689,           0.0012984,             0.79545,             0.71791,             0.75433,             0.47972,            0.031303,            0.016317,           0.0010408,            0.007723,            0.007723,            0.007723
