               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.0728,            0.029103,            0.024384,             0.47339,             0.58914,             0.47809,              0.2104,            0.035318,            0.010768,            0.004553,             0.00332,             0.00332,             0.07012
                   1,            0.055229,            0.022987,           0.0037495,             0.56467,             0.65647,             0.59139,             0.28361,            0.032555,           0.0095941,           0.0030577,           0.0065875,           0.0065875,            0.040054
                   2,            0.054628,            0.021985,           0.0031268,             0.58096,             0.66402,             0.59021,             0.29284,             0.03428,           0.0092351,           0.0020148,           0.0097889,           0.0097889,           0.0099223
                   3,            0.049681,            0.023913,           0.0023059,             0.64225,             0.66412,             0.67461,             0.36883,            0.027339,           0.0099138,           0.0012056,            0.009703,            0.009703,            0.009703
                   4,            0.044759,            0.023902,           0.0015995,             0.64971,             0.68707,             0.69134,             0.36784,            0.026685,           0.0098435,          0.00098149,            0.009703,            0.009703,            0.009703
                   5,            0.042712,             0.02321,           0.0013218,              0.7222,              0.6886,             0.72508,             0.44468,            0.023705,           0.0091873,          0.00088232,            0.009604,            0.009604,            0.009604
                   6,            0.040713,            0.022978,           0.0011598,             0.71783,             0.67152,             0.73066,             0.45964,            0.022491,           0.0092171,          0.00077527,            0.009505,            0.009505,            0.009505
                   7,            0.037142,            0.022344,          0.00098216,             0.62988,             0.74216,              0.7106,             0.43639,             0.02194,            0.009341,          0.00069988,            0.009406,            0.009406,            0.009406
                   8,            0.036724,            0.022559,           0.0009472,             0.75662,             0.74675,             0.78641,             0.48057,            0.021745,           0.0091561,          0.00066698,            0.009307,            0.009307,            0.009307
                   9,            0.036613,            0.022491,          0.00090842,             0.70477,             0.71051,             0.73392,             0.47751,            0.022612,           0.0090016,          0.00058583,            0.009208,            0.009208,            0.009208
                  10,              0.0355,            0.022038,          0.00082729,             0.66456,              0.6886,             0.70868,             0.45452,            0.021819,           0.0094954,          0.00057299,            0.009109,            0.009109,            0.009109
                  11,            0.034164,            0.021184,          0.00078605,             0.72998,             0.71844,               0.775,             0.50588,             0.02011,           0.0090924,          0.00055711,             0.00901,             0.00901,             0.00901
                  12,            0.034109,            0.021442,          0.00075607,             0.75049,             0.70773,             0.77436,             0.53162,            0.019588,           0.0088177,          0.00045177,            0.008911,            0.008911,            0.008911
                  13,            0.033036,            0.021588,          0.00069501,             0.75169,               0.762,              0.7871,             0.53413,            0.020021,           0.0086045,          0.00051031,            0.008812,            0.008812,            0.008812
                  14,            0.033995,            0.021017,           0.0007529,             0.72163,             0.69396,             0.74381,              0.5104,            0.019923,           0.0089453,          0.00049445,            0.008713,            0.008713,            0.008713
                  15,             0.03286,            0.020971,          0.00067815,             0.77382,             0.71844,             0.76945,             0.51469,            0.020284,           0.0089941,          0.00041826,            0.008614,            0.008614,            0.008614
                  16,              0.0321,            0.021099,           0.0006752,             0.68333,             0.72645,             0.74007,             0.49016,            0.020775,           0.0092194,           0.0010756,            0.008515,            0.008515,            0.008515
                  17,            0.031502,            0.021124,          0.00056871,             0.78844,             0.72427,              0.7893,             0.54033,             0.01957,           0.0086093,          0.00038976,            0.008416,            0.008416,            0.008416
                  18,            0.031521,            0.020484,          0.00060463,              0.7266,             0.74292,             0.77307,              0.5195,            0.019935,           0.0086303,          0.00035323,            0.008317,            0.008317,            0.008317
                  19,            0.030755,            0.020387,          0.00057814,             0.80825,             0.73298,             0.79842,             0.54509,            0.018943,           0.0086051,          0.00037014,            0.008218,            0.008218,            0.008218
                  20,            0.030018,            0.019795,          0.00059608,             0.71384,             0.73298,              0.7606,             0.52362,            0.019567,           0.0088611,           0.0004071,            0.008119,            0.008119,            0.008119
                  21,            0.030068,             0.01986,          0.00053479,               0.728,             0.73757,               0.767,             0.53712,            0.018937,           0.0088638,          0.00036577,             0.00802,             0.00802,             0.00802
                  22,            0.029546,            0.019696,           0.0005412,             0.77097,             0.72374,             0.78521,             0.54919,            0.019784,           0.0086162,           0.0003443,            0.007921,            0.007921,            0.007921
                  23,            0.028467,            0.019011,          0.00049872,             0.77589,             0.74433,             0.80827,             0.56611,            0.018826,           0.0086482,          0.00033369,            0.007822,            0.007822,            0.007822
                  24,            0.028014,            0.019271,          0.00050301,             0.73992,             0.75746,              0.7891,             0.55642,            0.019132,           0.0087581,          0.00031918,            0.007723,            0.007723,            0.007723
                  25,            0.027665,            0.018919,          0.00050581,             0.71563,             0.77047,             0.77855,             0.54709,            0.019577,           0.0085453,          0.00032836,            0.007624,            0.007624,            0.007624
                  26,            0.028328,            0.019382,          0.00048085,              0.7981,              0.7289,             0.81313,             0.58486,            0.018616,           0.0084094,          0.00029251,            0.007525,            0.007525,            0.007525
                  27,            0.028239,            0.018747,          0.00048197,             0.79207,             0.73445,             0.80695,             0.57894,             0.01884,           0.0087201,           0.0003048,            0.007426,            0.007426,            0.007426
                  28,            0.028162,            0.018899,          0.00044903,             0.81857,             0.75251,             0.81924,             0.58389,             0.01904,           0.0086434,          0.00031212,            0.007327,            0.007327,            0.007327
                  29,            0.026756,            0.018396,          0.00041737,             0.79382,             0.73604,             0.79958,              0.5881,            0.018788,           0.0085586,          0.00029369,            0.007228,            0.007228,            0.007228
                  30,            0.026029,            0.018276,          0.00042572,             0.76724,             0.77047,             0.81524,              0.5873,            0.018815,           0.0086384,          0.00031085,            0.007129,            0.007129,            0.007129
                  31,            0.026171,            0.017522,          0.00041642,             0.78357,             0.75343,             0.81332,             0.57732,            0.018459,           0.0087236,          0.00027786,             0.00703,             0.00703,             0.00703
                  32,            0.026372,            0.018352,          0.00041551,             0.80333,             0.74751,              0.8151,             0.59053,            0.018512,           0.0086951,          0.00027535,            0.006931,            0.006931,            0.006931
                  33,            0.026074,            0.018095,          0.00038809,             0.76056,             0.75593,             0.79396,             0.58774,             0.01804,           0.0086505,          0.00027464,            0.006832,            0.006832,            0.006832
                  34,            0.025101,            0.017729,          0.00039506,             0.79543,             0.73604,             0.80942,             0.58138,            0.019885,            0.008805,          0.00029091,            0.006733,            0.006733,            0.006733
                  35,            0.025373,            0.017356,          0.00037976,             0.77857,             0.75899,             0.81135,             0.59196,            0.018417,           0.0087941,          0.00027192,            0.006634,            0.006634,            0.006634
                  36,            0.024867,            0.017127,          0.00037563,              0.7697,             0.75746,              0.8026,             0.57421,            0.017742,           0.0087003,          0.00024687,            0.006535,            0.006535,            0.006535
                  37,            0.025335,            0.016878,          0.00037889,             0.80854,             0.75976,              0.8206,              0.6029,            0.018116,           0.0086885,          0.00025021,            0.006436,            0.006436,            0.006436
                  38,            0.024928,            0.017251,          0.00035449,             0.80318,             0.73068,             0.80522,             0.57783,            0.018347,           0.0092668,          0.00031055,            0.006337,            0.006337,            0.006337
                  39,            0.025241,            0.016904,          0.00036456,             0.78749,             0.75416,             0.80503,             0.57157,             0.01848,           0.0088883,          0.00026158,            0.006238,            0.006238,            0.006238
                  40,            0.023842,            0.016976,          0.00034028,             0.81058,             0.71375,             0.80319,             0.57598,            0.018225,           0.0088838,           0.0002321,            0.006139,            0.006139,            0.006139
                  41,             0.02438,            0.016672,          0.00033076,             0.75986,             0.76018,             0.79415,             0.57536,            0.018249,             0.00882,          0.00022096,             0.00604,             0.00604,             0.00604
                  42,            0.023915,            0.016552,          0.00032744,              0.8022,             0.72379,             0.80957,             0.59689,            0.017786,           0.0089125,           0.0002372,            0.005941,            0.005941,            0.005941
                  43,             0.02349,            0.016347,          0.00030969,              0.7722,             0.77806,             0.80837,             0.58796,            0.018548,           0.0088912,          0.00022866,            0.005842,            0.005842,            0.005842
                  44,            0.023138,            0.016315,          0.00031378,             0.83604,             0.74981,             0.82432,             0.60607,            0.018107,           0.0088457,          0.00024204,            0.005743,            0.005743,            0.005743
                  45,            0.023536,            0.016495,          0.00031359,             0.79968,             0.71997,              0.7919,             0.57933,            0.017946,           0.0092335,          0.00022969,            0.005644,            0.005644,            0.005644
                  46,            0.023274,            0.015929,           0.0003201,             0.77987,             0.74139,             0.79787,             0.57756,            0.018004,            0.009085,          0.00020357,            0.005545,            0.005545,            0.005545
                  47,            0.022466,            0.015849,           0.0002999,             0.76649,             0.75343,              0.7996,             0.58819,            0.017508,           0.0087141,          0.00021534,            0.005446,            0.005446,            0.005446
                  48,            0.022591,            0.015875,          0.00028736,             0.81527,             0.73068,             0.81735,             0.59699,            0.018149,           0.0089215,          0.00021205,            0.005347,            0.005347,            0.005347
                  49,            0.022219,            0.015005,          0.00028075,             0.80991,             0.74651,             0.81455,             0.59693,            0.017772,           0.0091083,          0.00021834,            0.005248,            0.005248,            0.005248
                  50,            0.021649,            0.015342,           0.0002939,              0.8433,             0.71308,             0.81417,             0.60833,             0.01836,           0.0089184,          0.00022567,            0.005149,            0.005149,            0.005149
                  51,             0.02205,            0.015275,          0.00027339,             0.75029,             0.77934,             0.81576,             0.59758,             0.01781,            0.009085,          0.00019573,             0.00505,             0.00505,             0.00505
                  52,            0.021519,            0.015003,           0.0002841,             0.81115,             0.76572,             0.82449,             0.60715,            0.017452,           0.0089092,          0.00020189,            0.004951,            0.004951,            0.004951
                  53,            0.022029,            0.015424,          0.00026783,             0.82122,             0.73833,             0.81355,             0.60267,            0.018283,            0.009088,          0.00020099,            0.004852,            0.004852,            0.004852
                  54,            0.021699,            0.015075,           0.0002665,             0.80265,             0.73757,             0.80358,              0.5942,            0.018433,           0.0093308,          0.00021299,            0.004753,            0.004753,            0.004753
                  55,            0.021434,            0.014877,          0.00025463,             0.79596,              0.7581,             0.81777,             0.60177,            0.017789,           0.0093464,          0.00019555,            0.004654,            0.004654,            0.004654
                  56,            0.021606,            0.014871,          0.00025116,             0.77806,             0.75669,             0.79506,             0.57277,            0.018155,           0.0094368,          0.00017901,            0.004555,            0.004555,            0.004555
