               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081441,            0.032869,              0.0359,             0.39695,             0.39716,             0.34055,              0.0969,            0.049872,            0.020607,           0.0087766,           0.0032727,           0.0032727,            0.070545
                   1,            0.062472,            0.023218,           0.0070196,             0.25192,             0.35225,             0.22037,            0.062627,            0.059207,             0.01077,           0.0024315,           0.0062791,           0.0062791,            0.040218
                   2,             0.06532,             0.01878,           0.0044283,              0.2885,             0.37825,             0.23747,            0.068818,            0.057051,           0.0098709,           0.0034223,           0.0089554,           0.0089554,           0.0095615
                   3,            0.054193,            0.021619,           0.0036336,             0.40199,             0.56734,             0.39046,             0.12059,            0.048109,            0.010825,           0.0042385,            0.008515,            0.008515,            0.008515
                   4,            0.052441,            0.022506,             0.00278,             0.33123,             0.37116,             0.29364,             0.10967,            0.045185,            0.012044,           0.0033287,            0.008515,            0.008515,            0.008515
                   5,            0.049954,            0.022002,           0.0024381,              0.3938,             0.44382,              0.3703,             0.12535,            0.042223,            0.012741,           0.0022092,             0.00802,             0.00802,             0.00802
                   6,             0.04529,            0.020594,           0.0022588,             0.62036,             0.60993,             0.59163,             0.26034,            0.037352,            0.010938,           0.0022749,            0.007525,            0.007525,            0.007525
                   7,            0.041134,            0.020947,           0.0018151,             0.70321,             0.71139,             0.72561,             0.34608,            0.029902,            0.010747,           0.0017006,             0.00703,             0.00703,             0.00703
                   8,            0.040045,            0.020462,           0.0016532,             0.79854,             0.76123,             0.82135,             0.40658,            0.031815,           0.0096164,           0.0016221,            0.006535,            0.006535,            0.006535
                   9,            0.038008,            0.019743,           0.0014813,             0.80212,             0.72104,             0.80631,             0.39683,            0.028893,           0.0099209,           0.0011965,             0.00604,             0.00604,             0.00604
                  10,            0.035482,            0.018755,           0.0011981,             0.78109,             0.75072,              0.7888,             0.38047,            0.027484,           0.0098733,           0.0011632,            0.005545,            0.005545,            0.005545
                  11,            0.034976,            0.019382,           0.0012034,              0.7098,             0.77484,             0.79899,             0.44107,            0.027578,           0.0092971,           0.0011462,             0.00505,             0.00505,             0.00505
                  12,            0.035105,            0.017868,           0.0011373,             0.82699,             0.78014,             0.84152,             0.49684,            0.024411,           0.0091356,           0.0010545,            0.004555,            0.004555,            0.004555
                  13,            0.033077,            0.017669,          0.00098597,             0.80188,             0.80374,             0.85126,             0.48657,            0.025776,           0.0088723,           0.0010429,             0.00406,             0.00406,             0.00406
                  14,            0.031856,            0.017277,          0.00096651,             0.85563,             0.78461,              0.8583,             0.50631,            0.024563,           0.0087871,          0.00090872,            0.003565,            0.003565,            0.003565
                  15,            0.030304,            0.017105,          0.00097663,             0.86458,             0.78486,             0.86403,             0.54411,            0.023387,           0.0087923,           0.0010247,             0.00307,             0.00307,             0.00307
                  16,            0.027944,            0.016504,          0.00087828,             0.83166,             0.79417,             0.86975,             0.55586,            0.022801,           0.0087493,          0.00087262,            0.002575,            0.002575,            0.002575
                  17,            0.027045,            0.016038,          0.00070995,             0.84403,             0.80599,             0.86468,             0.55087,            0.022695,           0.0086755,          0.00076639,             0.00208,             0.00208,             0.00208
                  18,             0.02364,            0.015821,          0.00061429,             0.82406,             0.85263,             0.87445,             0.58296,            0.021795,           0.0084649,          0.00072754,            0.001585,            0.001585,            0.001585
                  19,            0.026101,            0.016128,          0.00064838,             0.80178,             0.85106,             0.87324,             0.58129,            0.021476,            0.008575,          0.00067964,             0.00109,             0.00109,             0.00109
