               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11187,            0.034184,            0.045031,              0.1615,             0.13306,            0.051283,            0.013027,            0.097066,            0.024495,            0.017695,           0.0032667,           0.0032667,              0.0706
                   1,            0.093242,            0.029551,            0.011963,            0.067462,             0.15323,            0.030577,           0.0074047,             0.09575,            0.023327,            0.004399,           0.0062733,           0.0062733,            0.040273
                   2,             0.09035,            0.026349,           0.0064558,             0.21054,             0.16129,            0.094693,            0.021326,            0.092029,            0.019225,           0.0034354,           0.0089499,           0.0089499,           0.0096166
                   3,            0.078523,            0.025308,           0.0047051,             0.22815,             0.14919,             0.09473,            0.027744,            0.087216,            0.020999,           0.0023776,            0.008515,            0.008515,            0.008515
                   4,            0.072791,            0.026305,            0.004134,             0.29212,             0.27789,             0.20682,            0.079712,            0.062211,            0.020328,           0.0025737,            0.008515,            0.008515,            0.008515
                   5,            0.063688,            0.025213,           0.0033594,             0.33145,             0.32661,             0.22155,            0.092567,            0.059601,            0.018476,           0.0026665,             0.00802,             0.00802,             0.00802
                   6,             0.05689,            0.024195,           0.0029678,             0.49184,             0.33871,             0.28731,             0.12877,            0.060111,            0.019093,           0.0025451,            0.007525,            0.007525,            0.007525
                   7,            0.057239,            0.024182,           0.0028905,             0.41475,             0.35484,             0.28358,             0.10873,            0.057947,            0.018206,           0.0025663,             0.00703,             0.00703,             0.00703
                   8,            0.052218,            0.023242,           0.0025535,             0.44604,             0.40323,             0.32675,             0.18012,            0.048959,            0.018652,           0.0022764,            0.006535,            0.006535,            0.006535
                   9,            0.048951,            0.022744,           0.0020933,             0.46034,              0.3629,             0.29825,             0.16639,             0.05045,            0.019107,           0.0020603,             0.00604,             0.00604,             0.00604
                  10,            0.047266,            0.023232,           0.0021212,             0.54361,             0.43548,             0.36497,             0.20121,            0.048962,            0.018592,           0.0019143,            0.005545,            0.005545,            0.005545
                  11,            0.045832,             0.02286,           0.0018286,             0.53503,             0.42687,             0.37697,             0.18252,            0.051647,            0.017827,           0.0017546,             0.00505,             0.00505,             0.00505
                  12,            0.044735,            0.021811,           0.0017547,             0.59922,              0.3629,             0.37524,             0.21401,            0.047158,            0.019278,           0.0017328,            0.004555,            0.004555,            0.004555
                  13,            0.041311,            0.021898,            0.001781,             0.50938,             0.42339,             0.39111,             0.21908,            0.045829,            0.018781,           0.0016073,             0.00406,             0.00406,             0.00406
                  14,            0.039086,            0.020646,           0.0013818,             0.51178,             0.43115,             0.40435,             0.23561,             0.04541,            0.018703,           0.0013611,            0.003565,            0.003565,            0.003565
                  15,            0.038653,            0.020145,           0.0011853,             0.60581,             0.40323,             0.41819,             0.26408,             0.04171,            0.018349,           0.0012119,             0.00307,             0.00307,             0.00307
                  16,             0.03731,             0.02175,           0.0011053,             0.60514,             0.41532,              0.4261,             0.27247,            0.040982,            0.018799,           0.0011631,            0.002575,            0.002575,            0.002575
                  17,            0.034455,            0.021127,           0.0010611,             0.58029,             0.46371,             0.42128,             0.27643,            0.040544,            0.018424,           0.0010995,             0.00208,             0.00208,             0.00208
                  18,            0.033205,            0.019476,          0.00096739,             0.64389,             0.42339,             0.43377,             0.28176,             0.04001,            0.018576,           0.0010154,            0.001585,            0.001585,            0.001585
                  19,            0.032349,            0.019325,          0.00083743,             0.70631,             0.39919,              0.4399,             0.28819,            0.039521,            0.018449,          0.00091384,             0.00109,             0.00109,             0.00109
