               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094887,            0.030448,            0.039349,             0.21346,             0.48669,             0.17217,            0.050321,             0.06092,            0.013166,            0.011834,           0.0032911,           0.0032911,             0.07038
                   1,            0.073904,            0.022325,           0.0081323,             0.36869,             0.54753,             0.38693,             0.17877,            0.062329,           0.0088191,           0.0051064,           0.0065589,           0.0065589,            0.040314
                   2,            0.077673,             0.02049,           0.0043601,             0.39788,             0.57795,             0.36998,             0.16544,            0.059535,           0.0087875,           0.0048287,           0.0097606,           0.0097606,            0.010183
                   3,            0.067058,             0.02052,           0.0037259,             0.33405,             0.36882,             0.24929,              0.1004,            0.059724,           0.0097748,           0.0043907,            0.009703,            0.009703,            0.009703
                   4,            0.061259,            0.021316,           0.0028763,             0.61854,             0.64121,             0.60102,             0.32431,            0.047023,           0.0094278,           0.0017714,            0.009703,            0.009703,            0.009703
                   5,            0.059772,            0.020992,           0.0019676,             0.63671,             0.57414,             0.56163,             0.27793,            0.045689,           0.0099957,           0.0016524,            0.009604,            0.009604,            0.009604
                   6,            0.054297,            0.021812,           0.0018627,             0.52918,             0.47864,             0.40711,             0.17214,            0.049332,            0.011051,           0.0014312,            0.009505,            0.009505,            0.009505
                   7,            0.053754,            0.022089,           0.0015017,             0.70782,             0.62738,             0.64512,             0.35338,            0.044781,           0.0093991,           0.0012165,            0.009406,            0.009406,            0.009406
                   8,            0.051341,            0.020649,           0.0014462,             0.67505,             0.60821,             0.59043,              0.2779,            0.044371,           0.0094391,           0.0012958,            0.009307,            0.009307,            0.009307
                   9,            0.051906,            0.021124,           0.0015072,             0.69516,             0.55894,              0.6076,              0.3165,            0.041049,           0.0096746,           0.0010167,            0.009208,            0.009208,            0.009208
                  10,            0.050359,            0.020628,           0.0012491,             0.70889,             0.59316,             0.64481,             0.35823,             0.04182,           0.0096151,          0.00095751,            0.009109,            0.009109,            0.009109
                  11,            0.047395,            0.019238,            0.001375,             0.65958,             0.50951,             0.53974,             0.26454,             0.04365,           0.0098929,          0.00090872,             0.00901,             0.00901,             0.00901
                  12,             0.04815,            0.020436,           0.0010569,             0.74205,             0.63498,             0.64457,             0.33284,            0.045854,            0.009651,          0.00094103,            0.008911,            0.008911,            0.008911
