               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.052765,            0.028655,            0.045101,             0.32786,             0.27833,             0.17532,            0.073314,            0.042203,            0.021946,            0.039806,           0.0033305,           0.0033305,            0.070025
                   1,            0.035459,            0.023825,            0.039126,             0.44409,             0.33463,             0.26116,             0.15151,            0.037411,            0.021418,            0.037116,              0.0064,              0.0064,            0.039762
                   2,            0.034275,            0.023823,            0.037244,             0.40164,             0.27125,             0.22668,             0.11733,            0.040798,            0.023739,            0.036713,           0.0092054,           0.0092054,           0.0092337
                   3,            0.032417,            0.024605,            0.036055,             0.21873,               0.421,             0.25114,             0.14119,            0.037902,            0.023293,            0.035172,            0.008812,            0.008812,            0.008812
                   4,            0.030759,            0.024033,            0.034335,             0.30572,             0.35743,             0.29345,             0.17003,            0.036959,            0.022369,            0.035305,            0.008812,            0.008812,            0.008812
                   5,            0.029519,            0.023226,            0.032793,             0.43368,              0.3823,             0.34925,             0.20818,            0.035609,            0.021665,             0.03521,            0.008416,            0.008416,            0.008416
                   6,            0.029001,            0.023544,            0.032358,             0.48569,             0.36248,             0.36695,             0.21599,            0.035874,            0.022078,            0.033345,             0.00802,             0.00802,             0.00802
                   7,            0.027446,            0.022595,            0.031026,               0.497,             0.35453,             0.38787,             0.24116,            0.034352,            0.021953,            0.032161,            0.007624,            0.007624,            0.007624
                   8,            0.026553,             0.02241,            0.029414,             0.45725,             0.43923,              0.4154,             0.25916,            0.034511,            0.021253,            0.032288,            0.007228,            0.007228,            0.007228
                   9,             0.02613,            0.022116,            0.028947,             0.52121,             0.40354,             0.43355,             0.26942,            0.033956,            0.021501,            0.031682,            0.006832,            0.006832,            0.006832
                  10,            0.026063,            0.021906,            0.028431,             0.51441,             0.44561,             0.45799,              0.2961,            0.033012,            0.021181,            0.031326,            0.006436,            0.006436,            0.006436
                  11,             0.02519,            0.021641,            0.028265,             0.53844,             0.44943,             0.44949,             0.28727,            0.033129,            0.020665,            0.031236,             0.00604,             0.00604,             0.00604
                  12,             0.02486,            0.021638,            0.027291,             0.49847,             0.46121,             0.46014,             0.29924,            0.032543,            0.020852,            0.031295,            0.005644,            0.005644,            0.005644
                  13,             0.02469,            0.021443,            0.026555,             0.59941,             0.42418,             0.49137,             0.33143,            0.031873,            0.020612,            0.030511,            0.005248,            0.005248,            0.005248
                  14,             0.02334,             0.02073,             0.02468,             0.53117,              0.4527,              0.4663,             0.31101,            0.031758,            0.020996,            0.030052,            0.004852,            0.004852,            0.004852
                  15,            0.023423,            0.020616,              0.0243,             0.56994,             0.47904,             0.51022,             0.34644,            0.030988,            0.020561,            0.028949,            0.004456,            0.004456,            0.004456
                  16,            0.023592,            0.020934,            0.024458,             0.59898,             0.47367,              0.5238,             0.35608,            0.030723,            0.020612,            0.029542,             0.00406,             0.00406,             0.00406
                  17,            0.022415,             0.02031,            0.022737,             0.59105,             0.48876,             0.52332,             0.36164,            0.030713,            0.020526,            0.029165,            0.003664,            0.003664,            0.003664
                  18,            0.022649,            0.020251,            0.023007,             0.57823,              0.5093,             0.53633,             0.37143,            0.029739,            0.020453,            0.029891,            0.003268,            0.003268,            0.003268
                  19,            0.022325,            0.020016,            0.021847,             0.59036,             0.51673,              0.5368,             0.37345,             0.02955,            0.020518,            0.029403,            0.002872,            0.002872,            0.002872
                  20,            0.021352,            0.019597,            0.020807,             0.57781,             0.52902,             0.53607,             0.37386,            0.029903,            0.020242,            0.029994,            0.002476,            0.002476,            0.002476
                  21,            0.021286,            0.019431,            0.020244,             0.52735,             0.55359,             0.53577,             0.37617,            0.029126,            0.020219,            0.029316,             0.00208,             0.00208,             0.00208
                  22,            0.020698,            0.019327,            0.019734,             0.54942,             0.54774,             0.54074,             0.38324,            0.028817,             0.02001,            0.029767,            0.001684,            0.001684,            0.001684
                  23,            0.020334,            0.018898,             0.01929,             0.64006,             0.50019,             0.55186,             0.39114,            0.028589,            0.020143,            0.028726,            0.001288,            0.001288,            0.001288
                  24,             0.02003,            0.018797,            0.019163,              0.6183,             0.52949,             0.56006,             0.40235,            0.028579,            0.019857,             0.02926,            0.000892,            0.000892,            0.000892
