               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081441,            0.032869,              0.0359,             0.39695,             0.39716,             0.34055,              0.0969,            0.049872,            0.020607,           0.0087766,           0.0032727,           0.0032727,            0.070545
                   1,            0.060083,            0.023942,           0.0072041,             0.17074,             0.37589,             0.17551,            0.048972,            0.056054,            0.014298,           0.0044817,           0.0063881,           0.0063881,            0.040327
                   2,            0.059937,            0.020788,           0.0052401,             0.18683,             0.38771,             0.14821,            0.046819,            0.055541,            0.012257,           0.0086301,           0.0092834,           0.0092834,           0.0098895
                   3,            0.055613,            0.023289,           0.0040409,             0.38295,             0.41608,             0.29878,             0.08432,            0.044711,            0.013631,           0.0031164,             0.00901,             0.00901,             0.00901
                   4,            0.051268,            0.024931,           0.0025747,             0.33365,             0.54846,             0.35832,              0.1146,            0.038803,            0.011673,           0.0017309,             0.00901,             0.00901,             0.00901
                   5,            0.050104,            0.023804,           0.0019155,             0.48988,             0.62884,             0.52672,             0.19707,            0.034985,            0.011699,           0.0013297,             0.00868,             0.00868,             0.00868
                   6,              0.0476,            0.022238,           0.0018666,             0.56038,             0.55556,             0.50266,             0.19884,            0.036704,            0.010953,           0.0012616,             0.00835,             0.00835,             0.00835
                   7,            0.043927,            0.022503,           0.0017231,             0.44958,             0.61229,             0.50117,             0.20291,            0.034368,            0.011744,           0.0012686,             0.00802,             0.00802,             0.00802
                   8,            0.042926,            0.022413,           0.0015465,             0.63271,             0.68085,             0.65539,              0.2849,            0.035705,            0.010318,           0.0012244,             0.00769,             0.00769,             0.00769
                   9,            0.041916,            0.021768,           0.0013911,             0.78646,             0.68783,             0.77298,             0.36366,            0.031036,            0.010183,           0.0011373,             0.00736,             0.00736,             0.00736
                  10,            0.039054,             0.02069,           0.0012419,               0.811,             0.69504,             0.76988,             0.39164,            0.031875,             0.01006,           0.0010412,             0.00703,             0.00703,             0.00703
                  11,            0.039008,            0.020858,           0.0012072,             0.80768,             0.71631,             0.80575,             0.40661,            0.028917,            0.010144,          0.00099431,              0.0067,              0.0067,              0.0067
                  12,            0.042287,            0.019513,           0.0012275,             0.78812,              0.7305,              0.8034,             0.35851,            0.029275,            0.010138,            0.001018,             0.00637,             0.00637,             0.00637
                  13,            0.038199,            0.019447,           0.0012285,             0.76073,             0.75414,             0.79233,             0.36605,            0.030931,           0.0094482,           0.0010092,             0.00604,             0.00604,             0.00604
                  14,            0.037429,            0.019251,           0.0010414,             0.82511,             0.74941,             0.82388,             0.41812,            0.028621,           0.0095501,          0.00091917,             0.00571,             0.00571,             0.00571
                  15,            0.036682,            0.018885,          0.00099189,             0.85312,             0.74147,             0.83529,             0.46408,            0.025275,           0.0097457,          0.00087602,             0.00538,             0.00538,             0.00538
                  16,            0.033536,            0.018395,            0.000902,             0.82083,             0.74941,             0.82591,             0.48458,            0.025393,           0.0096325,          0.00082375,             0.00505,             0.00505,             0.00505
                  17,            0.031874,            0.017764,          0.00083983,             0.80232,             0.74941,             0.83195,             0.48777,             0.02512,           0.0095143,          0.00075142,             0.00472,             0.00472,             0.00472
                  18,            0.029231,            0.017576,          0.00077378,              0.8211,             0.74941,             0.81773,             0.46589,            0.025447,           0.0093628,          0.00073763,             0.00439,             0.00439,             0.00439
                  19,            0.032078,            0.017933,          0.00077551,             0.82252,              0.7896,             0.83987,             0.51917,            0.022863,           0.0093174,          0.00073236,             0.00406,             0.00406,             0.00406
                  20,            0.030132,             0.01818,          0.00072948,             0.81174,              0.8053,             0.84299,             0.51824,            0.023815,           0.0091673,          0.00067969,             0.00373,             0.00373,             0.00373
                  21,            0.032412,            0.017373,          0.00069801,             0.83836,             0.77541,             0.84094,              0.5108,            0.023614,           0.0094066,          0.00060856,              0.0034,              0.0034,              0.0034
                  22,            0.027077,            0.016958,          0.00059873,             0.83487,             0.77778,             0.83918,             0.51295,            0.024323,           0.0093639,          0.00057545,             0.00307,             0.00307,             0.00307
                  23,            0.029957,            0.016823,          0.00062909,             0.82546,             0.77305,             0.83693,             0.49852,            0.023683,           0.0092523,           0.0005317,             0.00274,             0.00274,             0.00274
                  24,            0.025726,            0.016614,          0.00053448,             0.85159,             0.77541,             0.84209,             0.52933,            0.022106,            0.009443,          0.00049435,             0.00241,             0.00241,             0.00241
                  25,            0.028185,            0.017559,          0.00048977,             0.82689,             0.81324,              0.8507,             0.52876,            0.022024,           0.0092589,           0.0004718,             0.00208,             0.00208,             0.00208
                  26,            0.024963,            0.016588,          0.00045981,             0.86697,             0.77541,             0.84823,             0.54526,            0.021582,             0.00932,          0.00045158,             0.00175,             0.00175,             0.00175
                  27,            0.026589,            0.016369,          0.00040901,              0.8581,             0.78627,             0.85607,             0.54762,            0.022129,            0.009079,           0.0004268,             0.00142,             0.00142,             0.00142
                  28,            0.025217,            0.016131,          0.00043153,             0.82524,              0.8156,              0.8469,             0.55199,            0.020998,           0.0092202,          0.00038719,             0.00109,             0.00109,             0.00109
                  29,             0.02769,            0.017065,          0.00050035,             0.86999,             0.77513,             0.86018,             0.56413,            0.021238,           0.0091102,          0.00037271,             0.00076,             0.00076,             0.00076
